Genres,Type,Source,Studios,Rating,Episodes
"action, award winning, sci-fi",tv,original,sunrise,r - 17+ (violence & profanity),26.0
"action, sci-fi",movie,original,bones,r - 17+ (violence & profanity),1.0
"action, adventure, sci-fi",tv,manga,madhouse,pg-13 - teens 13 or older,26.0
"action, drama, mystery, supernatural",tv,original,sunrise,pg-13 - teens 13 or older,26.0
"adventure, fantasy, supernatural",tv,manga,toei animation,pg - children,52.0
sports,tv,manga,gallop,pg-13 - teens 13 or older,145.0
"comedy, drama, romance",tv,manga,j.c.staff,pg-13 - teens 13 or older,24.0
"comedy, slice of life, sports",tv,manga,nippon animation,pg-13 - teens 13 or older,52.0
"action, drama",tv,manga,a.c.g.t.,pg-13 - teens 13 or older,24.0
"drama, mystery, suspense",tv,manga,madhouse,r+ - mild nudity,74.0
"action, adventure, fantasy",tv,manga,pierrot,pg-13 - teens 13 or older,220.0
"action, adventure, fantasy",tv,manga,toei animation,pg-13 - teens 13 or older,2.0
sports,tv,manga,trans arts,pg-13 - teens 13 or older,178.0
"action, sports",tv,manga,toei animation,pg - children,12.0
"comedy, romance",tv,manga,studio comet,pg-13 - teens 13 or older,26.0
"action, adventure, comedy, sci-fi, ecchi",tv,manga,gonzo,r - 17+ (violence & profanity),24.0
"action, drama, sci-fi",tv,original,madhouse,r+ - mild nudity,22.0
"action, supernatural",tv,light novel,gonzo,r - 17+ (violence & profanity),24.0
"comedy, gourmet",tv,manga,sunrise,pg-13 - teens 13 or older,69.0
"action, drama, sci-fi",tv,manga,studio deen,pg-13 - teens 13 or older,26.0
"action, avant garde, award winning, drama, sci-fi, suspense",tv,original,"gainax, tatsunoko production",pg-13 - teens 13 or older,26.0
"drama, sci-fi",movie,original,"gainax, production i.g",r - 17+ (violence & profanity),1.0
"avant garde, drama, sci-fi",movie,original,"gainax, production i.g",r+ - mild nudity,1.0
"action, adventure, drama, fantasy, horror",tv,manga,olm,r+ - mild nudity,25.0
"action, award winning, mystery, sci-fi, suspense",movie,manga,production i.g,r+ - mild nudity,1.0
"action, drama, romance",ova,manga,studio deen,r - 17+ (violence & profanity),4.0
"action, adventure, comedy, romance",tv,manga,"gallop, studio deen",pg-13 - teens 13 or older,94.0
drama,movie,manga,gallop,r - 17+ (violence & profanity),1.0
"action, adventure, horror, sci-fi, supernatural",movie,manga,tokyo movie shinsha,r+ - mild nudity,1.0
"adventure, fantasy, mystery",tv,original,bee train,pg-13 - teens 13 or older,26.0
"comedy, romance, supernatural",ova,manga,aic,pg-13 - teens 13 or older,5.0
"comedy, romance, supernatural",tv,manga,aic,pg-13 - teens 13 or older,24.0
"action, drama, romance, supernatural",ova,manga,hal film maker,r+ - mild nudity,3.0
"award winning, comedy, drama, sci-fi, sports",tv,manga,bones,pg-13 - teens 13 or older,26.0
"comedy, drama, romance",tv,manga,j.c.staff,pg-13 - teens 13 or older,24.0
"action, drama, sci-fi",movie,manga,digital frontier,r - 17+ (violence & profanity),1.0
"action, adventure, fantasy, horror, sci-fi",tv,game,bee train,r - 17+ (violence & profanity),26.0
"adventure, fantasy, sci-fi",tv,original,bee train,r - 17+ (violence & profanity),13.0
"comedy, drama, slice of life",tv,manga,madhouse,r - 17+ (violence & profanity),26.0
"adventure, drama, horror, romance, sci-fi",tv,original,aic,r+ - mild nudity,26.0
"comedy, drama, romance, sci-fi, ecchi",tv,manga,madhouse,pg-13 - teens 13 or older,26.0
"action, romance, supernatural",tv,manga,gonzo,r - 17+ (violence & profanity),24.0
"action, comedy, fantasy, romance",tv,manga,xebec,pg-13 - teens 13 or older,26.0
"drama, romance",tv,visual novel,"feel., zexcs",pg-13 - teens 13 or older,26.0
"comedy, romance, sci-fi, ecchi",tv,manga,daume,r+ - mild nudity,12.0
"action, comedy, drama",tv,manga,nomad,pg-13 - teens 13 or older,12.0
